,comments
180,"Nostalgia hits different, it reminds me of good times"
181,Wow! A decade old! Great song
182,bruno is one of the few people i wont get pissed when he says he looks so good he kisses himself
183,Esse clip é tudo
184,i always will love this song :)
185,
186,I remember my mom would play this back in 2016 now I'm here listening to it again
187,Love it
188,"To all the ""It's Bruno Mars ft. Mark Ronson"" people: Mark is a producer for god's sake!!! He wrote the lyrics, the beats, arranged and mastered the song himself. And THEN, he invited Bruno Mars for a collab. Get your shit straight people. We're living in a time that producers need more attention."
189,Que música boa!
190,que temazo
191,Love Love love this song 
192,"Wishing you a year filled with joy, laughter, and endless possibilities. Happy New Year!"
193,I feel so stupid for realizing 7 years later that this isn't actually a Bruno Mars song
194,This song makes me get up and dance for hours 
195,"We don’t search for old songs..
we search for old memories."
196,"No matter how many years pass, this song will stay in our hearts forever!"
197,"Musica incrível, todo ano volto pra relembrar essa relíquia"
198,"Bruno Mars is one of the top pop musicians, great song."
199,Still a Masterpiece
200,"I’m so glad there is closed captioning . Now I know what they are singing! And I can sing , too! THANKS "
201,I love this song.
202,This has been my favorite song for years
203,I heard that song as i was 3 years old... And now i am 11 and i swear i love this song it didont get old
204,"In 20 years time, kids will complaining how they were born in the wrong generation when listening to this jam"
205,It makes me so happy to see Mark Ronson give a small artist like Bruno Mars in his song 
206,One of the Greatest songs ever 
207,"It's the best song, it brings back good memories"
208,"I think we all got a little sick of this song bc the radio played it nonstop for 4 years  but now listening to it again i know exactly why it was played so much but its just that good. Bruno Mars is a genius, also w Locked out of heaven, 24k magic, thats what I like, and then all his other great songs before this"
209,"9 years and 5 BILLION views later, this song still slaps. No matter when, no matter where, if you hear this song, you can't help but dance."
210,Presentense los q hablamos español y adoramos está joya >;v
211,EU AMO 
212,This is the jam !!! Love it
213,¡Mil millones! Gran canción
214,I loved this song a masterpiece.
215,I watched this when I was little i still remember watching this
216,"Divided by countries, distance, color, age, gender but united by youtube comment section of songs that give you nostalgia."
217,One of my favourite songs after MANY years. 
218,"I used to listen to it a lot about 2 years ago, but lately I haven't listened to it at all! Ah, what a nostalgic screen!"
219,"Best song, best vid ever!"
220,They no longer make good hits like this anymore
221,Hard to stop listening I atleast listen 27 times in a week
222,"Unfortunately for Mark, people really only think of Bruno Mars when they think of this song."
223,"HEY DING, YOU POPPED UP AGAIN!! JUST WHEN I NEEDED YOU!! STILL MAKING ME SMILE!!"
224,Muuuuuuito melhor que os funks brasileiros
225,"I mean, why would I stop liking this song. It’s great."
226,I really like this song!
227,
228,The future Michael Jackson?
229,BEST SONG EVER!!!
230,"Classic, Nostalgy "
231,love this song
232,"Hermosa cancion Bruno Mars cantas lindo y te amamos y escucharte verte, nos das vida, dio mio eres divino"
233,It’s nearly 2024 and still loving this song 
234,Imagine all the people who was in the background and didnt know they would be in one of the best songs in the world
235,I remember hearing this being preformed on new years eve 2014 when i was 6 myself. I miss simpler times.
236,Never tire of listening to it-Merry Christmas
237,
238,Es una gran cancion
239,Es la mejor del mundo el ritmo también es el mejor la letra también
240,Not me watching every Bruno Mars music video ever waiting for him to release this Album to save 2021
241,Lindo demais
242,9 years!!! That’s mad. Legend of a song. Banger
243,Eres increíble
244,Remember watching this when it came out now on 2023  how time flies
245,Its 2024 now and it still hits different man !!
246,Cade os br viciado nessa musica ?  
247,I used it in our dance performance I love it
248,This song will age like a wine. It gets better as it gets older.
249,"не люблю смотреть клипы по песням, но чёрт...этой песне уже 9 лет.
Она не только до сих пор хороша, но и клип ничо такой."
250,"I became aware of this song just recently by watching a big bang theory flash mob video, I consider myself a rocker, but I do think this is pretty kick ass."
251,"To this day, I'll never stop loving this set of lyrics: ""I'm too hot, call the police and the firemen, I'm too hot, make a dragon wanna retire, man"""
252,Day 53 of me listening to Uptown Funk every day for a year
253,This feel like yesterday  It golden bro every song never gets OLD
254,man this song hits different...you feel the vibe
255,"5 freaking billions of views. Oh my God, Bruno mars and this song are amazing"
256,essa musica é mto boaahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh 
257,Que buena musica dios
258,It's like a 90s pop and rock song
259,Show 
260,I still keep thinking about this song everyday I used to LOVE this jam.
261,"This masterpiece is a funk-filled, energetic hit with catchy vocals and an irresistible groove. Timeless and dance-worthy."
262,I love this song.
263,This song is immortal.
264,"Bruno: natural coolnes
Mark: not really, but tries hard .
Sweet"
